Expense details,Quantity,CAD Unit Cost,USD Unit Cost,USD Total Cost (including tax),Link
10 pcs 360 degree Servo,5,$11.82,$8.63,$48.75,https://www.aliexpress.com/item/1005007173214082.html?spm=a2g0n.tm1000015626.0.0.2d5e130c7MtMfj&mp=1&sourceType=570&fromPageHash=me0k44bkv3dwly13vse&eventId=me0k44bkv3dwly13vse&pdpProgressBar=%7B%22noticeText%22%3A%22Pick%20%3Cfont%20color%3D%5C%22%23FCE583%5C%22%3E3%3C%2Ffont%3E%20more%20for%20free%20shipping%22%2C%22type%22%3A%22segment%22%2C%22points%22%3A%5B%7B%22reached%22%3Afalse%2C%22location%22%3A%221.00%22%7D%5D%2C%22progress%22%3A%220%22%2C%22startColor%22%3A%22%23FCE583%22%2C%22endColor%22%3A%22%23FCE583%22%7D&channel=nnGlobal&m_page_id=clodiv9dik0caqfx198818fe3065fd5d7ab44dda4c&aff_trace_key=7c49d927a2084278853be385754dd3c9-1751999781975-04668-_onFUU25&aff_platform=msite
Nano ESP32 Pre soldered,1,$0.00,$0.00,$0.00,https://www.aliexpress.com/item/1005007277867368.html?spm=a2g0o.cart.0.0.157738da6qW0nI&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2013.18%21CAD%2013.18%21%21CAD%2013.18%21%21%21%402103277f17539836741787921e4642%2112000040041941820%21ct%21CA%216437813924%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
3 pcs - 16 channel servo controller,1,$5.03,$3.67,$4.15,https://www.aliexpress.com/item/1005005670283526.html?spm=a2g0o.cart.0.0.157738daW9f865&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2012.14%21CAD%205.03%21%21CAD%205.03%21%21%21%402103205117539258187985930e6f5e%2112000033959645908%21ct%21CA%216437813924%21%211%210
Time Module,1,$0.00,$0.00,$0.00,https://www.aliexpress.com/item/1005007143596890.html?spm=a2g0o.cart.0.0.157738daW9f865&mp=1&pdp_npi=5%40dis%21CAD%21CAD%202.17%21CAD%202.17%21%21CAD%202.17%21%21%21%402103205117539258187985930e6f5e%2112000039565918038%21ct%21CA%216437813924%21%211%210
Jumper Wire kits,2,$0.00,$0.00,$0.00,https://www.aliexpress.com/item/1005003219096948.html?spm=a2g0o.cart.0.0.157738daOsIqxM&mp=1&pdp_npi=5%40dis%21CAD%21CAD%2012.38%21CAD%2012.38%21%21CAD%2012.38%21%21%21%40210330dd17540065794612841ec075%2112000024783046670%21ct%21CA%216437813924%21%212%210
5V 10A Power Supply,1,$6.37,$4.65,$5.25,https://www.aliexpress.com/item/33051556213.html?spm=a2g0o.cart.0.0.157738dazNEhOO&mp=1&pdp_npi=5%40dis%21CAD%21CAD%209.38%21CAD%209.38%21%21CAD%209.38%21%21%21%40210318ec17539316108282647e9c68%2112000016440247393%21ct%21CA%216437813924%21%211%210
RGB LED Strips,1,$7.49,$5.47,$6.18,https://www.aliexpress.com/item/1005007914556601.html?spm=a2g0o.cart.0.0.157738dazNEhOO&mp=1&pdp_npi=5%40dis%21CAD%21CAD%206.64%21CAD%206.45%21%21CAD%206.45%21%21%21%40210318ec17539316108282647e9c68%2112000042930354281%21ct%21CA%216437813924%21%211%210
750 point Experimental Breadboard,1,$0.00,$0.00,$0.00,https://www.aliexpress.com/item/1005007399563936.html?spm=a2g0o.cart.0.0.157738daF33qJl&mp=1&pdp_npi=5%40dis%21CAD%21CAD%204.45%21CAD%204.45%21%21CAD%204.45%21%21%21%40210330dd17540060561002231ec075%2112000040586343259%21ct%21CA%216437813924%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
4 Ohm 3W Speaker,1,$3.27,$2.39,$2.70,https://www.aliexpress.com/item/1005005699690954.html?spm=a2g0o.cart.0.0.157738dan4kJZz&mp=1&pdp_npi=5%40dis%21CAD%21CAD%203.27%21CAD%203.27%21%21CAD%203.27%21%21%21%40210313e917539827189265688eb012%2112000044410686572%21ct%21CA%216437813924%21%211%210
MAX98357 3.2W Audio Amplifier,1,$2.33,$1.70,$1.92,https://www.aliexpress.com/item/1005007629020891.html?spm=a2g0o.cart.0.0.157738daZhi2XR&mp=1&pdp_npi=5%40dis%21CAD%21CAD%202.33%21CAD%202.33%21%21CAD%202.33%21%21%21%402103273e17539821351974283eab14%2112000041565703120%21ct%21CA%216437813924%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
